"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K02115",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02117",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02118",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02120",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02121",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02123",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02124",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02169",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02188",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02190",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K02224",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02226",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02227",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02230",1,1,1,1,0,2,1,2,1,1,1,1
"KO:K02231",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02232",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02233",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02335",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K02337",1,1,1,1,1,1,1,1,1,1,1,3
"KO:K02338",1,1,1,1,1,1,2,2,2,2,1,1
"KO:K02340",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02341",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02342",2,2,2,2,2,2,2,2,2,2,2,3
"KO:K02343",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02371",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02377",2,1,2,2,2,2,5,4,1,1,3,1
"KO:K02437",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02473",0,2,1,1,0,0,1,2,1,1,0,0
"KO:K02495",1,1,1,1,1,1,1,3,1,1,1,1
"KO:K02500",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02501",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02517",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02527",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02536",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02548",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K02551",0,0,0,0,0,0,0,0,1,1,1,0
"KO:K02563",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K02564",3,3,4,4,4,3,4,4,3,3,3,4
"KO:K02775",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02823",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02843",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K03040",1,1,2,2,1,1,1,1,2,2,1,1
"KO:K03043",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03046",1,1,3,3,1,1,1,1,1,1,1,1
"KO:K03077",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03147",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03149",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03150",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K03183",1,1,1,1,1,1,1,1,1,1,1,1
